Acc_Index	Vehicle_Reference	Casualty_Reference	Casualty_Class	Sex_of_Casualty	Age_Band_of_Casualty	Casualty_Severity	Pedestrian_Location	Pedestrian_Movement	Car_Passenger	Bus_or_Coach_Passenger	Pedestrian_Road_Maintenance_Worker	Casualty_Type	Casualty_Home_Area_Type	Accident_Index	Location_Easting_OSGR	Location_Northing_OSGR	Longitude	Latitude	Police_Force	Accident_Severity	Number_of_Vehicles	Number_of_Casualties	Date	Day_of_Week	Time	Local_Authority_(District)	Local_Authority_(Highway)	1st_Road_Class	1st_Road_Number	Road_Type	Speed_limit	Junction_Detail
2016051600532	2	1	1	1  (Male)	07  (36 - 45)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600532	335816	380055	-2.963488	53.313264	5  (Merseyside)	2	2	1	11/02/2016	5	16:45	95	E08000015  (Wirral)	6	0	6	40	6
2016051600541	1	1	3	2  (Female)	03  (11 - 15)	2  (Serious)	6	9	0	0	0	0  (Pedestrian)	1	2016051600541	336324	388170	-2.957496	53.386266	5  (Merseyside)	2	5	8	12/02/2016	6	15:15	91	E08000012  (Liverpool)	4	5174	6	30	0
2016051600541	1	2	3	2  (Female)	03  (11 - 15)	2  (Serious)	6	9	0	0	0	0  (Pedestrian)	1	2016051600541	336324	388170	-2.957496	53.386266	5  (Merseyside)	2	5	8	12/02/2016	6	15:15	91	E08000012  (Liverpool)	4	5174	6	30	0
2016051600541	1	3	3	2  (Female)	03  (11 - 15)	2  (Serious)	6	9	0	0	0	0  (Pedestrian)	1	2016051600541	336324	388170	-2.957496	53.386266	5  (Merseyside)	2	5	8	12/02/2016	6	15:15	91	E08000012  (Liverpool)	4	5174	6	30	0
2016051600541	1	4	3	2  (Female)	03  (11 - 15)	2  (Serious)	6	9	0	0	0	0  (Pedestrian)	1	2016051600541	336324	388170	-2.957496	53.386266	5  (Merseyside)	2	5	8	12/02/2016	6	15:15	91	E08000012  (Liverpool)	4	5174	6	30	0
2016051600541	1	5	3	2  (Female)	03  (11 - 15)	2  (Serious)	6	9	0	0	0	0  (Pedestrian)	1	2016051600541	336324	388170	-2.957496	53.386266	5  (Merseyside)	2	5	8	12/02/2016	6	15:15	91	E08000012  (Liverpool)	4	5174	6	30	0
2016051600541	1	6	3	2  (Female)	03  (11 - 15)	2  (Serious)	6	9	0	0	0	0  (Pedestrian)	1	2016051600541	336324	388170	-2.957496	53.386266	5  (Merseyside)	2	5	8	12/02/2016	6	15:15	91	E08000012  (Liverpool)	4	5174	6	30	0
2016051600542	2	1	1	1  (Male)	10  (66 - 75)	2  (Serious)	0	0	0	0	0	1  (Cyclist)	1	2016051600542	345738	392720	-2.816738	53.428216	5  (Merseyside)	2	2	1	07/02/2016	1	12:12	90	E08000011  (Knowsley)	3	58	3	30	1
2016051600547	2	1	1	1  (Male)	07  (36 - 45)	2  (Serious)	0	0	0	0	0	3  ('Motorcyclist')	1	2016051600547	336182	398319	-2.961688	53.477471	5  (Merseyside)	2	2	1	10/02/2016	4	20:15	93	E08000014  (Sefton)	6	0	6	30	0
2016051600561	2	1	1	1  (Male)	05  (21 - 25)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	2	2016051600561	339093	390719	-2.916357	53.409504	5  (Merseyside)	2	2	1	14/02/2016	1	03:00	91	E08000012  (Liverpool)	3	5047	3	30	6
